sample_id,data_source,task,question,gold,system,LLaVA-3B-MedSigLIP_pred,LLaVA-3B-CLIP_pred
20,moebouassida/path-vqa-enhanced,vqa,is digital infarcts bacterial endocarditis present?,no. Explanation: The absence of vegetations or embolic phenomena in the observed cardiac structures indicates no bacterial endocarditis.,You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,no. Explanation: The absence of embolic phenomena and intact vascular structures indicates no digital infarcts.,no. Explanation: The absence of embolic phenomena and normal vascular architecture indicates no digital infarcts.
21,moebouassida/path-vqa-enhanced,vqa,what does this image show?,rheumatoid arthritis. Explanation: Synovial hyperplasia and lymphocytic infiltration in the joint tissue indicate rheumatoid arthritis.,You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,uterus. Explanation: The image displays endometrial lining and myometrial layers characteristic of uterine tissue.,pancreatic fat necrosis. Explanation: The presence of necrotic adipocytes and inflammatory infiltrate indicates fat necrosis associated with pancreatic injury.
22,moebouassida/path-vqa-enhanced,vqa,is choanal atresia present?,no. Explanation: The nasal passages appear patent with no evidence of obstruction or abnormal tissue growth.,You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,"no. Explanation: The nasal passages appear patent and unobstructed, with no signs of abnormal tissue or obstruction.","no. Explanation: The nasal passages are patent, with no obstruction or abnormal tissue growth observed."
23,moebouassida/path-vqa-enhanced,vqa,what are dilated and plugged with eosinophilic mucin?,"the ducts. Explanation: The ducts exhibit significant dilation and are filled with eosinophilic mucin, indicating obstruction, often seen in mucinous conditions.",You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,"the acini. Explanation: The acini exhibit dilatation and are filled with eosinophilic mucin, indicating obstruction or inflammation.","the ducts. Explanation: The ducts exhibit significant dilation and are filled with eosinophilic mucin, indicating obstruction."
24,moebouassida/path-vqa-enhanced,vqa,what does this image show?,parathyroid. Explanation: Presence of chief cells arranged in sheets with variable cytoplasmic granularity indicates parathyroid tissue.,You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,thyroid. Explanation: The presence of follicular structures and colloid within the thyroid parenchyma indicates normal thyroid tissue.,pancreatic fat necrosis. Explanation: The presence of necrotic adipocytes and inflammatory infiltrate indicates fat necrosis in the pancreas.
25,moebouassida/path-vqa-enhanced,vqa,what is present?,tuberculosis. Explanation: Caseating granulomas and multinucleated giant cells indicate the presence of tuberculosis infection.,You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,hematologic. Explanation: The presence of abnormal blood cell morphology and dysplastic features indicates a hematologic condition.,hematologic. Explanation: The presence of abnormal blood cell morphology and increased cellularity indicates a hematologic condition.
26,moebouassida/path-vqa-enhanced,vqa,what is obvious metastatic lesion 44yobfadenocarcinoma of lung giant cell type occurring?,"after she was treated for Hodgkin's disease. Explanation: The presence of a large, atypical giant cell population alongside necrotic areas indicates a metastatic lesion originating from lung adenocarcinoma.",You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,after radiation therapy for breast cancer. Explanation: The presence of atypical giant cells and necrotic areas indicates a metastatic lesion consistent with radiation-induced changes.,after radiation therapy for lung carcinoma. Explanation: The presence of giant cells and necrotic areas in the tissue suggests a metastatic lesion following radiation therapy.
27,moebouassida/path-vqa-enhanced,vqa,where does this image show?,"inner table view multiple venous lakes. Explanation: The presence of expansile, vascular spaces with thin walls indicates multiple venous lakes in the inner table.",You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,"brain. Explanation: The presence of neuronal cells and glial tissue, along with characteristic brain architecture, confirms the brain origin.",skin. Explanation: The presence of keratinocytes and dermal structures indicates the image is of skin tissue.
28,moebouassida/path-vqa-enhanced,vqa,is an opened peritoneal cavity cause by fibrous band strangulation present?,"no. Explanation: The peritoneal cavity exhibits no signs of fibrous bands or strangulation, maintaining a normal appearance.",You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,"no. Explanation: The peritoneal cavity shows no signs of fibrous bands or strangulation, with normal serosal surfaces.","no. Explanation: The peritoneal cavity shows no signs of fibrous bands or strangulation, with normal serosal surfaces observed."
29,moebouassida/path-vqa-enhanced,vqa,does the intervening dermal soft tissue show moderate chronic inflammation?,"yes. Explanation: Presence of lymphocytes, plasma cells, and edema in the dermis indicates moderate chronic inflammation.",You are a medical imaging expert. Answer concisely and base every statement on what is visible in the image.,yes. Explanation: The presence of lymphocytic infiltrate and edema in the dermal soft tissue indicates moderate chronic inflammation.,no. Explanation: The dermal soft tissue exhibits a lack of inflammatory cell infiltrate and shows normal architecture without signs of chronic inflammation.
30,kaggle/rocov1,caption,,Sandal gap deformity.Plantar view of the foot in a fetus with Down syndrome reveals an abnormal degree of separation between the great toe and the second toe (arrow).,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Fetal echocardiography at 20 weeks of gestation. The arrow indicates the left ventricle.,Ultrasound image of the fetal hand at 20 weeks of gestation. The arrow indicates the presence of a polydactyly.
31,kaggle/rocov1,caption,,Noncontrast axial CT of massive central calcified disc/limbus fracture filling the spinal canal contributing to cauda equina compression. The axial noncontrast CT demonstrated calcification/ossification of a massive central disc herniation filling the spinal canal at the L4-L5 level. This is also called a limbus fracture. This patient presented with a cauda equina syndrome (paralysis) and required removal of this disc through a coronal hemilaminectomy [See Figures 8 and 9] from both sides,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan showing the lesion,Axial CT scan showing the fracture line extending from the left pedicle to the left lamina
32,kaggle/rocov1,caption,,Ascites and echogenic foci in the tumor.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Transvaginal ultrasound showing a 3.5 × 3.5 cm mass in the right adnexa,Ultrasound image of the left ovary.
33,kaggle/rocov1,caption,,A computerized tomography scan slice of the pelvis demonstrating a lesion in the sacral bone (asterisk) with cortical destruction and infiltration of the spinal canal.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"Axial CT image of the pelvis shows a large, well-defined, lobulated, soft tissue mass (asterisk) in the right iliac fossa.",Axial CT image of the pelvis showing a large left sacral mass (asterisk) with extension into the left gluteal region.
34,kaggle/rocov1,caption,,"Sagittal FSPGR BRAVO image displaying a 4 mm pars intermedia pituitary cyst within an otherwise normal pituitary gland, a relatively steep clival angle, and a 4 mm pineal cyst is present. (A) A 4 mm pars intermedia pituitary cyst within an otherwise normal pituitary gland. (B) There is a relatively steep clival angle. (C) A 4 mm pineal cyst is present. Also note mild brachycephaly.Abbreviation: FSPGR BRAVO, fast spoiled gradient echo brain volume.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"Sagittal T1-weighted MRI of the brain showing the pituitary gland (A), the optic chiasm (B), and the hypothalamus (C).",Sagittal T1-weighted MRI of the brain of a 3-year-old child with a history of developmental delay and seizures. The image shows a hypoplastic pituitary gland (A) with a small stalk (B) and a hypoplastic hypothalamus (C).
35,kaggle/rocov1,caption,,"Anteroposterior radiograph showing the tibia and fibula. It was taken immediately after operation and shows barely visible fracture lines, but no callus.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Anteroposterior radiograph of the left femur showing a transverse fracture of the proximal diaphysis.,Radiograph of the left tibia and fibula 6 months after the operation.
36,kaggle/rocov1,caption,,Postoperative chest X-ray showing residual mass in the anterior mediastinum.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Chest X-ray showing a mass in the right upper lobe.,Chest X-ray showing a mass in the right upper lobe.
37,kaggle/rocov1,caption,,Puborectalis angle (α angle). IAS: Internal anal sphincter; EAS: External anal sphincter; PR: Puborectalis muscle.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Ultrasound image of the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in the medial aspect of the femoral canal. The femoral nerve is surrounded by the femoral artery and vein. The femoral artery and vein are located in the medial aspect of the femoral canal. The femoral artery and vein are surrounded by the femoral nerve. The femoral nerve is located in,"Ultrasound image of the parotid gland. The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR), and the deep region (DR). The parotid gland is divided into three regions: the superficial region (SR), the middle region (MR"
38,kaggle/rocov1,caption,,Hyper dense mass that measures 4.4 cm × 3.7 cm,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen showing multiple hypodense lesions in the liver.,Computed tomography scan showing a 3.5 cm × 3.5 cm × 3.5 cm mass in the right kidney
39,kaggle/rocov1,caption,,The same volume as shown in Figure 2 but processed using DynaCT.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the spine showing extensive osteomyelitis of the vertebral bodies and the intervertebral discs.,CT scan of the lumbar spine.
40,kaggle/rocov1,caption,,The left parotid. Small well-defined hypoechoic lesions (arrowheads) are seen within the parenchyma of the relatively hyperechoic left parotid gland.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Ultrasound image of the right breast showing a hypoechoic mass (arrowheads) with a diameter of 1.5 cm.,Ultrasound image of the left thyroid lobe showing a hypoechoic nodule (arrowheads).
41,kaggle/rocov1,caption,,Postoperative X ray showing the implant positions in the mandible where the teeth were extracted and ridge preservation was accomplished,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Panoramic radiograph showing the implant in the right maxillary sinus,Panoramic radiograph of the patient at the first visit
42,kaggle/rocov1,caption,,Radiographic control after implant placement in site to the left.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Radiograph of the implant after 6 months.,Periapical radiograph of the implant in the maxillary right central incisor region.
43,kaggle/rocov1,caption,,Stricture of the bulbous urethra as shown on the miction cystourethrogram (Case 1).,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Retrograde urethrogram showing the urethral stricture (arrow).,Retrograde urethrogram showing a urethral diverticulum (arrow).
44,kaggle/rocov1,caption,,"The illustration of echocardiogram of huge thrombi in left ventricle apex (arrow). LV, left ventricle; LA, left atrium.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Transthoracic echocardiogram showing a large pericardial effusion (arrow) with right ventricular collapse.,Transthoracic echocardiogram showing a large pericardial effusion (arrow) with a small amount of pericardial fluid in the right ventricle. LA: left atrium; LV: left ventricle.
45,kaggle/rocov1,caption,,Ultrasonography of the abdomen showing bulky pancreas,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Transverse sonogram of the abdomen showing a hypoechoic lesion in the head of the pancreas (arrow),Ultrasound image of the gallbladder showing a thickened wall with a small amount of fluid in the lumen (arrow)
46,kaggle/rocov1,caption,,Borderline constriction in the middle/distal RCA,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Coronary angiography showing a 90% stenosis of the left anterior descending artery.,Coronary angiography showing a 90% stenosis in the proximal segment of the right coronary artery
47,kaggle/rocov1,caption,,"Brain magnetic resonance imaging (MRI). Axial diffusion-weighted imaging (DWI) MRI sequences. In the context of a chronic vascular disease, multiple and bilateral hyperintense lesions, suggestive of a cardioembolism",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,MRI brain showing bilateral symmetrical hyperintense lesions in the periventricular white matter,Magnetic resonance imaging brain showing multiple small foci of hyperintensity in the white matter of both cerebral hemispheres
48,kaggle/rocov1,caption,,The CT Scan Showing the Absence of Significant Tracheal Compression,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the neck showing a 2.5 cm × 1.5 cm × 1.5 cm well-defined soft tissue mass in the right lobe of the thyroid gland.,CT scan of the neck showing a large thyroid mass.
49,kaggle/rocov1,caption,,CT scan showed a well-defined pancreatic tumor.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen showing a large mass in the right lobe of the liver.,Computed tomography scan of the abdomen showing a large mass in the head of the pancreas.
50,kaggle/rocov1,caption,,Axial fluid-attenuated inversion-recovery image shows thickening of the grey matter around the sylvian fissure bilaterally with irregular cortex (arrows) and widening the fissures,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Axial T2-weighted image showing hyperintense signal in the bilateral thalami (arrows),Axial T1-weighted image showing bilateral symmetrical hyperintensity in the globus pallidus (arrows)
51,kaggle/rocov1,caption,,OPG (2004),You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Panoramic radiograph showing the presence of a supernumerary tooth in the right maxillary arch,Panoramic radiograph showing the presence of a well-defined radiolucent lesion in the right mandibular body (white arrow)
52,kaggle/rocov1,caption,,Axial T2-weighted image showes a hyperintense lesion in the right petrous apex.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Axial T2-weighted MRI image showing a hyperintense lesion in the medulla oblongata.,"Axial T2-weighted MRI of the brain showing a small, well-defined, hyperintense lesion in the right cerebellopontine angle."
53,kaggle/rocov1,caption,,"Computed tomography (CT) axial view of the pelvis demonstrating an abnormal mass in the pelvis (outlined) which appears to arise from the uterus with bulbous soft tissue expansion of the organ diffusely measuring approximately 20 x 14.5 x 16.7 cm. There may be circumferential residual myometrium present, likely a primary endometrial abnormality.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the pelvis showing a large cystic mass in the pelvis.,Axial CT image of the pelvis showing the bladder (white line) and the rectum (white circle).
54,kaggle/rocov1,caption,,Computed tomography abdomen confirmed 6 cm × 8 cm perisplenic hematoma,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Computed tomography scan of the abdomen showing a large left-sided retroperitoneal hematoma,Computed tomography scan showing splenic infarction
55,kaggle/rocov1,caption,,Ultrasonography image demonstrated a whorl of concentric vessels in the region of splenic hilum. Note a spleen of ectopic position,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"Color Doppler ultrasound image of the right kidney showing a large, well-defined, hyperechoic mass with a central area of hypoechoic necrosis. The mass is surrounded by a thin rim of hyperechoic tissue. The mass is displacing the renal parenchyma and the renal pelvis. The mass is also displacing the right ureter anteriorly. The mass is displacing the right kidney medially. The mass is displacing the right kidney laterally. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney anteriorly. The mass is displacing the right kidney posteriorly. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney medially. The mass is displacing the right kidney laterally. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney anteriorly. The mass is displacing the right kidney posteriorly. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney medially. The mass is displacing the right kidney laterally. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney anteriorly. The mass is displacing the right kidney posteriorly. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney medially. The mass is displacing the right kidney laterally. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney anteriorly. The mass is displacing the right kidney posteriorly. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney medially. The mass is displacing the right kidney laterally. The mass is displacing the right kidney superiorly. The mass is displacing the right kidney inferiorly. The mass is displacing the right kidney anteriorly. The mass is displacing the right kidney posteriorly. The mass is displacing the right kidney superiorly. The mass is displacing the",Color Doppler ultrasound showing the portal vein thrombosis
56,kaggle/rocov1,caption,,Solid 32-mm right lower pole renal mass seen on computed tomography scan.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Coronal CT image of the abdomen and pelvis showing a large amount of free fluid in the pelvis.,Coronal view of CT abdomen and pelvis with contrast showing a 2.5 cm left renal mass.
57,kaggle/rocov1,caption,,Postoperative cervical spine CT showing hardware failure at C3 with anterior shift of the allograft.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the cervical spine showing the fracture of the C2 vertebral body.,CT scan of the cervical spine showing the fracture of the C5 vertebra.
58,kaggle/rocov1,caption,,Postoperative abdominal X-Ray with barium meal.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Abdominal X-ray showing dilated small bowel loops with air-fluid levels.,Figure 1: Plain abdominal X-ray showing dilated bowel loops.
59,kaggle/rocov1,caption,,Head CT scan showing brainstem edema after infarct.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the head showing a large mass in the right orbit.,CT scan of the head showing a right orbital floor fracture.
60,zenodo/rocov2,caption,,Standard-dose CT-guided CNB for lung nodule.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT-guided biopsy of the right lung mass.,CT-guided biopsy of the right upper lobe mass.
61,zenodo/rocov2,caption,,A point of maximal anterior femoral head translation was localised by scanning medial to lateral to identify the highest point of the femoral head in relation to the acetabulum.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Measurement of the femoral head-neck angle (FHNA) on ultrasound.,Ultrasound image of the hip joint showing the acetabular index.
